Subj,Course,Status,Subj_Desc,Sec,CRN,Title,Campus,Schedule_Type,Schedule_Type_Desc,Primary Instructor Last Name,Primary Instructor First Name,Primary Instructor ID,Crosslist_ID,Approv,Detail_Code,Fee,Min Credits,Max_Credits,Prior_Enrl,SCH,Auth_Size,Actual_Enrl,Seats_Avail,%_Capacity,Waitlist_Max,Waitlist_Actual,Waitlist_Avail,POT,Start_Date_1,End_Date_1,Meeting_Time_1,Meeting_Location_1,Instruct_Method_1,Instruct_Method_Desc_1,Start_Date_2,End_Date_2,Meeting_Time_2,Meeting_Location_2,Instruct_Method_2,Instruct_Method_Desc_2,Start_Date_3,End_Date_3,Meeting_Time_3,Meeting_Location_3,Instruct_Method_3,Instruct_Method_Desc_3,Start_Date_4,End_Date_4,Meeting_Time_4,Meeting_Location_4,Instruct_Method_4,Instruct_Method_Desc_4,Start_Date_5,End_Date_5,Meeting_Time_5,Meeting_Location_5,Instruct_Method_5,Instruct_Method_Desc_5,Start_Date_6,End_Date_6,Meeting_Time_6,Meeting_Location_6,Instruct_Method_6,Instruct_Method_Desc_6,Start_Date_7,End_Date_7,Meeting_Time_7,Meeting_Location_7,Instruct_Method_7,Instruct_Method_Desc_7,Start_Date_8,End_Date_8,Meeting_Time_8,Meeting_Location_8,Instruct_Method_8,Instruct_Method_Desc_8,Start_Date_9,End_Date_9,Meeting_Time_9,Meeting_Location_9,Instruct_Method_9,Instruct_Method_Desc_9,Start_Date_10,End_Date_10,Meeting_Time_10,Meeting_Location_10,Instruct_Method_10,Instruct_Method_Desc_10
CI,402,A,Curriculum & Instruction,0,67833,IS: HERITIGE STUDENTS,I,I,Independent Learning,De La Vega,Esperanza,919518926,,,,,1,1,0,1,0,1,-1,,0,0,0,1,2016-03-28 00:00:00,2016-06-11 00:00:00,,,N,By-Arrangement In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI,405,A,Curriculum & Instruction,0,67348,R&C: EDD STUDENT EXP,I,I,Independent Learning,Anderson,Ingrid,931001217,,,,,1,1,0,1,0,1,-1,,0,0,0,1,2016-03-28 00:00:00,2016-06-11 00:00:00,,,N,By-Arrangement In-Person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI,410,A,Curriculum & Instruction,001,60715,TOP: CHILDREN-ART-ARTISTS,I,L,Lecture,Williams,Sarah,957874263,US,DP,,,1,1,9,4,25,4,21,0.16,5,0,5,1,2016-03-28 00:00:00,2016-06-11 00:00:00,,WEB,W,Fully Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI,410,A,Curriculum & Instruction,011,60718,TOP: NUMERACY IN EARLY CHLDHD,I,L,Lecture,Davis,Sara,949132988,PI,DP,,,3,3,10,12,25,4,21,0.16,5,0,5,1,2016-03-28 00:00:00,2016-06-11 00:00:00,,WEB,W,Fully Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI,410,A,Curriculum & Instruction,294,68095,TOP: IGNITE THE SPARK,K,L,Lecture,Clarke,Judy,933677146,,DP,F504,120,2,2,0,2,10,1,9,0.1,0,0,0,1,2016-05-02 00:00:00,2016-05-13 00:00:00,MF 0900-1700,OFFCAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI,410,A,Curriculum & Instruction,596,66852,TOP: HRSSMNT & BULLYING SCHLS,K,L,Lecture,Reynolds,Candyce,968103243,,DP,F504,180,3,3,0,0,100,0,100,0,0,0,0,1,2016-03-28 00:00:00,2016-06-11 00:00:00,,WEB,W,Fully Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI,410,A,Curriculum & Instruction,598,66865,TOP: RDG & WRT CONTENT AREA,K,L,Lecture,Bernards,Pamela,927192477,,DP,F504,180,3,3,0,3,100,1,99,0.01,0,0,0,1,2016-03-28 00:00:00,2016-06-11 00:00:00,,WEB,W,Fully Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI,410,A,Curriculum & Instruction,602,66871,TOP: TALENTED & GIFTED,K,L,Lecture,Bernards,Pamela,927192477,,DP,F504,180,3,3,0,3,100,1,99,0.01,0,0,0,1,2016-03-28 00:00:00,2016-06-11 00:00:00,,WEB,W,Fully Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI,410,A,Curriculum & Instruction,603,66873,TOP: TEACHING DIVERSITY,K,L,Lecture,Bernards,Pamela,927192477,,DP,F504,180,3,3,0,0,100,0,100,0,0,0,0,1,2016-03-28 00:00:00,2016-06-11 00:00:00,,WEB,W,Fully Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI,410,A,Curriculum & Instruction,604,66874,TOP: TEACH MATH CONCEPTUALLY,K,L,Lecture,Chappell,Kim,942875350,,DP,F504,180,3,3,0,0,100,0,100,0,0,0,0,1,2016-03-28 00:00:00,2016-06-11 00:00:00,,WEB,W,Fully Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI,410,A,Curriculum & Instruction,606,66880,TOP: TRY DFFRNTD INSTRCTN,K,L,Lecture,Dahl,Steve,977622261,,DP,F504,240,4,4,0,0,100,0,100,0,0,0,0,1,2016-03-28 00:00:00,2016-06-11 00:00:00,,WEB,W,Fully Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI,410,A,Curriculum & Instruction,608,66854,TOP: IMPLMNT COMMON CORE STNDS,K,L,Lecture,Dahl,Steve,977622261,,DP,F504,240,4,4,0,4,100,1,99,0.01,0,0,0,1,2016-03-28 00:00:00,2016-06-11 00:00:00,,WEB,W,Fully Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CI,410,A,Curriculum & Instruction,609,66884,TOP: VIOLENCE IN SCHOOLS,K,L,Lecture,Sedler,Michael,912450488,,DP,F504,180,3,3,0,0,100,0,100,0,0,0,0,1,2016-03-28 00:00:00,2016-06-11 00:00:00,,WEB,W,Fully Online,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
